SAWS_OBS_TM,STN_NM,SAWS_TA_AVG,SAWS_TA_MIN,SAWS_TA_MAX,SAWS_HD_AVG,SAWS_HD_MIN,SAWS_HD_MAX,SAWS_WS_AVG,SAWS_WS_MAX,SAWS_RN_SUM
20130527,금천,22,20.4,24.1,69.4,54.3,86.2,2.4,5.1,8.5
20130527,강서,21.5,19.8,22.9,79.2,66.6,94.1,2.5,5.8,8
20130527,노원,21.6,20,23.9,80.1,60.9,96.3,0.8,3.3,5
20130527,광진,21.9,20.5,23.9,70,57.9,83.1,2,5.3,4.5
20130527,강북,21.7,20.2,24,74.2,57.5,87.6,1.3,3.7,5.5
20130527,송파,21.6,20.5,23.6,74.9,59.2,89.5,0.9,3.5,4.5
20130527,용산,22.3,20.6,24.1,55.9,42,71.8,2.3,5.5,6
20130527,남산,20.8,19.6,22.1,92.5,82.7,99.9,1.8,4.2,6.5
20130527,동대문,21.7,20.5,24.2,74.6,58.3,87.4,2.6,5.3,4.5
20130527,성북,21.5,19.9,23.8,73.4,57.5,86.9,1.1,4.2,5
20130527,도봉,20.8,19.7,22.9,80.9,64.8,93.1,0.6,2.6,5
20130527,마포,21.5,19.7,23.1,74.1,61.9,89.5,1,3.2,7.5
20130527,구로,21.8,19.8,23.6,77.9,64.3,98.7,2.8,5.8,8.5
20130527,영등포,21.9,20.1,23.4,74.1,62.5,88.4,1.8,4,8
20130527,서초,22.3,20.9,23.9,65.3,53.8,79,1.4,4.3,7.5
20130527,강남,21.2,19.9,23.2,75.6,62.2,89.8,0.8,2.8,5.5
20130527,서대문,21.2,19.4,22.7,74.5,63,90.1,3.6,6.7,7
20130527,성동,21.5,20.3,23.3,69.1,54.6,84.7,2,5.3,5
20130527,중랑,21.5,20.2,23.6,72,59,84.1,2.4,4.7,5
20130527,중구,20.9,19.4,22.7,75.4,61.7,89.9,1.3,5.4,6
20130527,종로,22.2,20.9,23.7,72.7,60.2,86.4,1,2.8,6
